date,value
20210312,4946.9
20210311,4961.37
20210310,4909.61
20210309,4901.01
20210308,4873.8
20210305,4765.13
20210304,4789.45
20210303,4870.16
20210302,4880.47
20210301,4850.74
20210226,4789.27
20210225,4883.09
20210224,4838.59
20210223,4807.82
20210222,4833.7
20210219,4852.81
20210218,4845.15
20210217,4874.84
20210216,4920.98
20210212,4893.32
20210211,4821.5
20210210,4789.21
20210209,4777.53
20210208,4820.15
20210205,4783.12
20210204,4845.1
20210203,4819.12
20210202,4763.79
20210201,4754.07
20210129,4735.4
20210128,4751.61
20210127,4850.21
20210126,4827.21
20210125,4803.56
20210122,4794.33
20210121,4830.05
20210120,4799.68
20210119,4735.78
20210115,4739.85
20210114,4756.05
20210113,4722.75
20210112,4748.33
20210111,4689.24
20210108,4730.63
20210107,4738.24
20210106,4599.39
20210105,4599.39
20210104,4611.05
20201231,4586.15
20201230,4586.15
20201229,4622.84
20201228,4584.01
20201224,4530.21
20201223,4530.21
20201222,4500.27
20201221,4468.94
20201218,4575.42
20201217,4578.95
20201216,4603.04
20201215,4594.67
20201214,4553.37
20201211,4547.95
20201210,4585.32
20201209,4594.49
20201208,4607.69
20201207,4571.12
20201204,4547.17
20201203,4557.42
20201202,4571.97
20201201,4589.66
20201130,4564.66
20201127,4624.11
20201125,4567.64
20201124,4560.37
20201123,4506.81
20201120,4491.45
20201119,4464.49
20201118,4504.75
20201117,4470.69
20201116,4464.31
20201113,4421.33
20201112,4429.16
20201111,4478.48
20201110,4503.27
20201109,4446
20201106,4281.77
20201105,4295.27
20201104,4256.03
20201103,4213.32
20201102,4105.88
20201030,4057
20201029,4036.92
20201028,4113.37
20201027,4237.43
20201026,4299.86
20201023,4385.15
20201022,4366.02
20201021,4384.11
20201020,4429.08
20201019,4447.52
20201016,4439.49
20201015,4403.02
20201014,4468.23
20201013,4439.58
20201012,4470.04
20201009,4419.21
20201008,4379.59
20201007,4364.66
20201006,4372.26
20201005,4380.48
20201002,4317.41
20201001,4320.17
20200930,4280.97
20200929,4291.65
20200928,4309.08
20200925,4215.65
20200924,4249.08
20200923,4299.92
20200922,4301.35
20200921,4254.85
20200918,4403.65
20200917,4399.96
20200916,4397.76
20200915,4336.43
20200914,4308.57
20200911,4317.05
20200910,4326.11
20200909,4342.93
20200908,4269.21
20200904,4313.09
20200903,4271.36
20200902,4331.57
20200901,4301.7
20200831,4308.8
20200828,4333.03
20200827,4338.88
20200826,4353.31
20200825,4302.15
20200824,4285.61
20200821,4225.91
20200820,4223.38
20200819,4255.27
20200818,4240.46
20200817,4253.52
20200814,4209.43
20200813,4247.14
20200812,4258.48
20200811,4217.08
20200810,4170.6
20200807,4151.45
20200806,4137.48
20200805,4151.06
20200804,4151.03
20200803,4145.96
20200731,4078.96
20200730,4016.32
20200729,4101.08
20200728,4122.6
20200727,4142.34
20200724,4174.7
20200723,4206.2
20200722,4141.7
20200721,4122.71
