#Digilent WaveForms Oscilloscope Acquisition
#Device Name: FYSE301_1
#Serial Number: SN:210321A1AD23
#Date Time: 2023-10-03 09:22:03.021
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 10 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.00231375,-0.003281396989398321,-0.04691338183668441
0.002315,-0.003614389185149287,-0.04691338183668441
0.00231625,-0.003281396989398321,-0.04657744065312754
0.0023175,-0.002615412597896389,-0.04657744065312754
0.00231875,-0.003281396989398321,-0.04657744065312754
0.00232,-0.003614389185149287,-0.04590555828601381
0.00232125,-0.002948404793647355,-0.04590555828601381
0.0023225,-0.003281396989398321,-0.04624149946957068
0.00232375,-0.003281396989398321,-0.04624149946957068
0.002325,-0.003614389185149287,-0.04590555828601381
0.00232625,-0.003281396989398321,-0.04590555828601381
0.0023275,-0.002948404793647355,-0.04556961710245695
0.00232875,-0.002615412597896389,-0.04590555828601381
0.00233,-0.002948404793647355,-0.04590555828601381
0.00233125,-0.002948404793647355,-0.04556961710245695
0.0023325,-0.003281396989398321,-0.04590555828601381
0.00233375,-0.003281396989398321,-0.04590555828601381
0.002335,-0.003614389185149287,-0.04590555828601381
0.00233625,-0.003281396989398321,-0.04556961710245695
0.0023375,-0.003281396989398321,-0.04556961710245695
0.00233875,-0.003281396989398321,-0.04489773473534321
0.00234,-0.003281396989398321,-0.04523367591890008
0.00234125,-0.002948404793647355,-0.04556961710245695
0.0023425,-0.002948404793647355,-0.04523367591890008
0.00234375,-0.003281396989398321,-0.04523367591890008
0.002345,-0.003614389185149287,-0.04523367591890008
0.00234625,-0.002948404793647355,-0.04523367591890008
0.0023475,-0.003281396989398321,-0.04523367591890008
0.00234875,-0.002948404793647355,-0.04489773473534321
0.00235,-0.002948404793647355,-0.04523367591890008
0.00235125,-0.003281396989398321,-0.04523367591890008
0.0023525,-0.002948404793647355,-0.04456179355178634
0.00235375,-0.002948404793647355,-0.04489773473534321
0.002355,-0.002948404793647355,-0.04523367591890008
0.00235625,-0.002948404793647355,-0.04523367591890008
0.0023575,-0.002282420402145423,-0.04489773473534321
0.00235875,-0.003281396989398321,-0.04456179355178634
0.00236,-0.003614389185149287,-0.04489773473534321
0.00236125,-0.003281396989398321,-0.04456179355178634
0.0023625,-0.002948404793647355,-0.04456179355178634
0.00236375,-0.002948404793647355,-0.04456179355178634
0.002365,-0.003281396989398321,-0.04456179355178634
0.00236625,-0.002615412597896389,-0.04422585236822948
0.0023675,-0.002282420402145423,-0.04388991118467261
0.00236875,-0.003614389185149287,-0.04422585236822948
0.00237,-0.003281396989398321,-0.04422585236822948
0.00237125,-0.002948404793647355,-0.04422585236822948
0.0023725,-0.002948404793647355,-0.04388991118467261
0.00237375,-0.002948404793647355,-0.04388991118467261
0.002375,-0.003947381380900253,-0.04355397000111574
0.00237625,-0.002948404793647355,-0.04355397000111574
0.0023775,-0.003281396989398321,-0.04422585236822948
0.00237875,-0.003947381380900253,-0.04422585236822948
0.00238,-0.003614389185149287,-0.04321802881755887
0.00238125,-0.003281396989398321,-0.04355397000111574
0.0023825,-0.002615412597896389,-0.04422585236822948
0.00238375,-0.002948404793647355,-0.04355397000111574
0.002385,-0.003614389185149287,-0.04321802881755887
0.00238625,-0.003281396989398321,-0.04355397000111574
0.0023875,-0.003281396989398321,-0.04355397000111574
0.00238875,-0.003614389185149287,-0.04388991118467261
0.00239,-0.002948404793647355,-0.04388991118467261
0.00239125,-0.002282420402145423,-0.04355397000111574
0.0023925,-0.001949428206394456,-0.04388991118467261
0.00239375,-0.003281396989398321,-0.04388991118467261
0.002395,-0.002948404793647355,-0.04321802881755887
0.00239625,-0.003281396989398321,-0.04321802881755887
0.0023975,-0.003281396989398321,-0.04355397000111574
0.00239875,-0.002948404793647355,-0.04321802881755887
0.0024,-0.003947381380900253,-0.04321802881755887
0.00240125,-0.003281396989398321,-0.042882087634002
0.0024025,-0.003614389185149287,-0.042882087634002
0.00240375,-0.003281396989398321,-0.04321802881755887
0.002405,-0.003614389185149287,-0.042882087634002
0.00240625,-0.002615412597896389,-0.04321802881755887
0.0024075,-0.002282420402145423,-0.04254614645044514
