Date (s),Itot (A)
6.41368e-13,0.0001360181007019933
6.54393e-13,0.0001399839599426374
6.67755e-13,0.0001440201142794468
6.81463e-13,0.0001457266743507163
6.95429e-13,0.0001521044697117511
7.09892e-13,0.0001563544868415551
7.24772e-13,0.0001606563582867278
7.40096e-13,0.0001650047915579756
7.55869e-13,0.000169386723811217
7.72112e-13,0.0001719827243928182
7.88808e-13,0.000178082896939213
8.06036e-13,0.0001826021446713603
8.2382e-13,0.0001869687236685994
8.42175e-13,0.0001913433409783089
8.61111e-13,0.0001956761244275291
8.80631e-13,0.0001991346443603077
9.00734e-13,0.0002033359800550067
9.21441e-13,0.000208214209506477
9.42913e-13,0.0002118852222065038
9.64996e-13,0.0002161220004612927
9.87923e-13,0.0002197002429043248
1.01161e-12,0.0002234286064571302
1.03617e-12,0.0002267554764280048
1.06159e-12,0.0002306287008642116
1.08799e-12,0.0002338394247327076
1.11526e-12,0.0002371343298149281
1.14367e-12,0.0002401922369478552
1.17318e-12,0.0002430910896998218
1.20381e-12,0.0002459159679046821
1.2356e-12,0.0002482240120944723
1.26841e-12,0.0002511136027672098
1.3023e-12,0.0002535540967001866
1.33695e-12,0.0002558391923398828
1.37225e-12,0.0002577596834864055
1.40827e-12,0.0002601079081972211
1.44511e-12,0.0002620985778532984
1.48261e-12,0.0002640248168149868
1.52062e-12,0.0002658739364767619
1.5465e-12,0.0002670865842150354
1.57755e-12,0.0002684896130921141
1.61482e-12,0.0002701051182609914
1.65503e-12,0.000271688802582519
1.69537e-12,0.0002733901122080479
1.73658e-12,0.0002749939767653737
1.77853e-12,0.0002765797695302241
1.80696e-12,0.0002776463473430004
1.84108e-12,0.0002788850134105992
1.88202e-12,0.0002803341221817802
1.92622e-12,0.0002818590368973441
1.97108e-12,0.0002833670826073583
2.01658e-12,0.000284851153464102
2.0627e-12,0.0002863247210144341
2.10961e-12,0.0002877918838938547
2.157e-12,0.0002892269063213432
2.20517e-12,0.0002906473839416781
