
16/12/2021 15:27:14
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
O_source

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
3.80026e-11,5.591914042252947e-06
3.82274e-11,5.360774379488851e-06
3.84472e-11,5.140438952201017e-06
3.86619e-11,4.93045821682973e-06
3.88717e-11,4.730326564997411e-06
3.90762e-11,4.539805877339355e-06
3.9276e-11,4.358226486733942e-06
3.94709e-11,4.18527788613777e-06
3.96611e-11,4.020368780686295e-06
3.98471e-11,3.862872534409771e-06
4.00288e-11,3.712530909115163e-06
4.02066e-11,3.568787096862274e-06
4.03809e-11,3.431104552219187e-06
4.05519e-11,3.299007176306622e-06
4.07198e-11,3.172352107303993e-06
4.08848e-11,3.050721963278563e-06
4.10472e-11,2.93377678975259e-06
4.12072e-11,2.821191751739075e-06
4.13652e-11,2.712638895345471e-06
4.15212e-11,2.60790434132716e-06
4.16754e-11,2.506854560363493e-06
4.18279e-11,2.409278885314314e-06
4.19789e-11,2.314982742125283e-06
4.21286e-11,2.223787193663104e-06
4.22772e-11,2.134838873634389e-06
4.24248e-11,2.050221263898635e-06
4.25715e-11,1.967490547102901e-06
4.27174e-11,1.887368699031001e-06
4.28627e-11,1.809751824980811e-06
4.30075e-11,1.73454828830485e-06
4.31518e-11,1.661681291826071e-06
4.32958e-11,1.591077372352935e-06
4.34395e-11,1.522660237242681e-06
4.35831e-11,1.456359078649768e-06
4.37267e-11,1.392110473121934e-06
4.38703e-11,1.329871330843157e-06
4.40139e-11,1.269593194733897e-06
4.41578e-11,1.211227783108311e-06
4.43018e-11,1.154751591783372e-06
4.44463e-11,1.100116048864483e-06
4.45911e-11,1.047269093961956e-06
4.47364e-11,9.961748687346012e-07
4.48822e-11,9.467966568004979e-07
4.50287e-11,8.99098637953231e-07
4.5176e-11,8.530454822194237e-07
4.5324e-11,8.086003221442843e-07
4.54729e-11,7.657300136426684e-07
4.56229e-11,7.243994916788873e-07
4.57739e-11,6.845780994776195e-07
4.59259e-11,6.46278358696933e-07
4.6079e-11,6.094701183152763e-07
4.62332e-11,5.741190525354057e-07
4.63886e-11,5.401889071460722e-07
4.65454e-11,5.076454820951732e-07
4.67035e-11,4.764536264257096e-07
4.68633e-11,4.465774855964702e-07
4.70246e-11,4.179807064055268e-07
4.71876e-11,3.906489954394951e-07
4.73522e-11,3.645735225359208e-07
4.75185e-11,3.397160937715366e-07
4.76865e-11,3.160413241790628e-07
4.78564e-11,2.935117704964568e-07
4.80283e-11,2.720896917695003e-07
4.82024e-11,2.517372772600675e-07
4.83787e-11,2.324261553579866e-07
4.85571e-11,2.141482724175765e-07
4.87376e-11,1.968674570124533e-07
4.89203e-11,1.805454924030893e-07
4.91055e-11,1.651442584668835e-07
4.92932e-11,1.506273314405602e-07
4.94835e-11,1.36958603453556e-07
4.96763e-11,1.241290321736673e-07
4.98716e-11,1.120967538357592e-07
5.00696e-11,1.008307519686625e-07
5.02703e-11,9.029456650921694e-08
5.0474e-11,8.045265164193106e-08
5.06804e-11,7.127853870418254e-08
5.08895e-11,6.275009904257762e-08
5.11015e-11,6.236356642055161e-08
5.13164e-11,4.796638672188393e-08
5.15344e-11,4.119810902648091e-08
5.17552e-11,3.491857184235432e-08
5.19789e-11,2.911605222668753e-08
5.22056e-11,2.378392185883774e-08
5.24354e-11,1.889236918008319e-08
5.26682e-11,1.444212831931511e-08
5.29038e-11,1.041015229046865e-08
5.31427e-11,6.670300951330233e-09
5.33847e-11,3.273543680535014e-09
5.36297e-11,1.768454072124551e-10
5.3878e-11,-2.599423730066703e-09
